Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2015-08-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,22.875749,668
SSEBOP,2015-08-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SSEBOP,2015-08-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,77.349244,39743
SSEBOP,2015-08-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,80.566091,9502
SSEBOP,2015-08-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,109.068432,159794
SSEBOP,2015-08-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,68.970951,74425
SSEBOP,2015-08-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,84.734558,9746
SSEBOP,2015-08-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SSEBOP,2015-08-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SSEBOP,2015-08-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,77.277332,5982
SSEBOP,2015-08-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,65.78198,2353
SSEBOP,2015-08-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,30.698442,1605
SSEBOP,2015-08-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,88.133329,137884
SSEBOP,2015-08-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,119.860319,48489
SSEBOP,2015-08-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,81.539033,538
SSEBOP,2015-08-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SSEBOP,2015-08-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,83.226557,7870
SSEBOP,2015-08-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SSEBOP,2015-08-01,5-054,5-054,ASH VALLEY,ASH VALLEY,109.773336,12106
SSEBOP,2015-08-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SSEBOP,2015-08-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,57.830581,1877
SSEBOP,2015-08-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,98.390323,620
SSEBOP,2015-08-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,139.954338,219
SSEBOP,2015-08-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,4.75098,510
SSEBOP,2015-08-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SSEBOP,2015-08-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SSEBOP,2015-08-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SSEBOP,2015-08-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,68.358974,39
