Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
GEESEBAL,2019-03-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,90.359281,668
GEESEBAL,2019-03-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
GEESEBAL,2019-03-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,40.552701,39743
GEESEBAL,2019-03-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,39.126815,9502
GEESEBAL,2019-03-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,28.087735,159765
GEESEBAL,2019-03-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,30.947065,74280
GEESEBAL,2019-03-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,28.547463,9734
GEESEBAL,2019-03-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
GEESEBAL,2019-03-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
GEESEBAL,2019-03-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,28.991809,5982
GEESEBAL,2019-03-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,47.669358,2353
GEESEBAL,2019-03-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,36.477882,1605
GEESEBAL,2019-03-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,70.683168,137884
GEESEBAL,2019-03-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,31.446514,48489
GEESEBAL,2019-03-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,57.462825,538
GEESEBAL,2019-03-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
GEESEBAL,2019-03-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,69.312198,7870
GEESEBAL,2019-03-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
GEESEBAL,2019-03-01,5-054,5-054,ASH VALLEY,ASH VALLEY,51.70344,11947
GEESEBAL,2019-03-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
GEESEBAL,2019-03-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,63.351092,1877
GEESEBAL,2019-03-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,68.458065,620
GEESEBAL,2019-03-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,120.0,1
GEESEBAL,2019-03-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,20.841176,510
GEESEBAL,2019-03-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
GEESEBAL,2019-03-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
GEESEBAL,2019-03-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
GEESEBAL,2019-03-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,40.358974,39
GEESEBAL,2019-03-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
GEESEBAL,2019-03-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
GEESEBAL,2019-03-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,33.730937,918
GEESEBAL,2019-03-01,5-015,5-015,BIG VALLEY,BIG VALLEY,33.655361,41040
GEESEBAL,2019-03-01,5-004,5-004,BIG VALLEY,BIG VALLEY,28.56467,162642
GEESEBAL,2019-03-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,33.377954,7575
GEESEBAL,2019-03-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
GEESEBAL,2019-03-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,28.231858,1130
GEESEBAL,2019-03-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,19.383117,154
GEESEBAL,2019-03-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,59.157613,17397
GEESEBAL,2019-03-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,17.583333,12
GEESEBAL,2019-03-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
GEESEBAL,2019-03-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,44.313015,4249
GEESEBAL,2019-03-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,32.679661,65287
GEESEBAL,2019-03-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,21.404621,7963
GEESEBAL,2019-03-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,70.051852,270
GEESEBAL,2019-03-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
GEESEBAL,2019-03-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
GEESEBAL,2019-03-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
GEESEBAL,2019-03-01,6-101,6-101,BULL FLAT,BULL FLAT,41.229167,48
GEESEBAL,2019-03-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,32.310894,6848
GEESEBAL,2019-03-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,24.976932,1734
GEESEBAL,2019-03-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
GEESEBAL,2019-03-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,27.877358,148986
GEESEBAL,2019-03-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
GEESEBAL,2019-03-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
GEESEBAL,2019-03-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
GEESEBAL,2019-03-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
GEESEBAL,2019-03-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,75.8651,6212
GEESEBAL,2019-03-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
GEESEBAL,2019-03-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
GEESEBAL,2019-03-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
GEESEBAL,2019-03-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,62.97619,126
GEESEBAL,2019-03-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
GEESEBAL,2019-03-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,35.382215,1282
GEESEBAL,2019-03-01,3-018,3-018,CARPINTERIA,CARPINTERIA,58.08054,13099
GEESEBAL,2019-03-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,36.51924,22739
GEESEBAL,2019-03-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,20.171216,8755
GEESEBAL,2019-03-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,17.907801,846
GEESEBAL,2019-03-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
GEESEBAL,2019-03-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
GEESEBAL,2019-03-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,36.545647,4250
GEESEBAL,2019-03-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,,0
